timestamp,asset,current_close,predicted_close,actual_close,predicted_direction,actual_direction,probability,tech_signal,correct,running_bankroll
2026-07-07 01:19:00+00:00,ETH,1795.36,1795.7530517578125,1793.17,UP,DOWN,0.5175,NEUTRAL,False,65.91
2026-07-07 01:24:00+00:00,ETH,1793.17,1795.9681396484375,1791.75,UP,DOWN,0.6209,NEUTRAL,False,57.94
2026-07-07 01:29:00+00:00,ETH,1791.75,1792.4984130859375,1791.77,UP,UP,0.5333,NEUTRAL,True,59.87
2026-07-07 01:34:00+00:00,ETH,1791.77,1791.6453857421875,1792.18,DOWN,UP,0.5056,NEUTRAL,False,59.54
2026-07-07 01:39:00+00:00,ETH,1792.18,1791.7069091796875,1795.19,DOWN,UP,0.5211,NEUTRAL,False,58.28
2026-07-07 01:44:00+00:00,ETH,1795.19,1794.8883056640625,1796.83,DOWN,UP,0.5134,UP,False,57.5
2026-07-07 01:49:00+00:00,ETH,1796.83,1796.520751953125,1795.25,DOWN,DOWN,0.5138,UP,True,58.29
2026-07-07 01:54:00+00:00,ETH,1795.25,1795.2037353515625,1792.64,DOWN,DOWN,0.5021,NEUTRAL,True,58.42
2026-07-07 01:59:00+00:00,ETH,1792.64,1790.138916015625,1793.96,DOWN,UP,0.6088,DOWN,False,52.06
2026-07-07 02:04:00+00:00,ETH,1793.96,1793.0655517578125,1790.39,DOWN,DOWN,0.5398,NEUTRAL,True,54.13
2026-07-07 02:09:00+00:00,ETH,1790.39,1788.6866455078125,1791.84,DOWN,UP,0.5752,DOWN,False,50.06
2026-07-07 02:14:00+00:00,ETH,1791.84,1792.215087890625,1790.4,UP,DOWN,0.5167,NEUTRAL,False,49.23
2026-07-07 02:19:00+00:00,ETH,1790.4,1790.5279541015625,1784.03,UP,DOWN,0.5057,DOWN,False,48.95
2026-07-07 02:24:00+00:00,ETH,1784.03,1783.9228515625,1779.92,DOWN,DOWN,0.5048,DOWN,True,49.18
2026-07-07 02:29:00+00:00,ETH,1779.92,1779.9998779296875,1780.17,UP,UP,0.5036,DOWN,True,49.36
2026-07-07 02:34:00+00:00,ETH,1780.17,1783.0870361328125,1782.41,UP,UP,0.6266,DOWN,True,55.61
2026-07-07 02:39:00+00:00,ETH,1782.41,1782.9739990234375,1783.88,UP,UP,0.5253,NEUTRAL,True,57.01
2026-07-07 02:44:00+00:00,ETH,1783.88,1782.5843505859375,1780.01,DOWN,DOWN,0.5577,NEUTRAL,True,60.3
2026-07-07 02:49:00+00:00,ETH,1780.01,1781.1580810546875,1778.91,UP,DOWN,0.5513,NEUTRAL,False,57.21
2026-07-07 02:54:00+00:00,ETH,1778.91,1779.697509765625,1778.57,UP,DOWN,0.5353,DOWN,False,55.19
2026-07-07 02:59:00+00:00,ETH,1778.57,1779.75390625,1779.63,UP,UP,0.5529,NEUTRAL,True,58.11
2026-07-07 03:04:00+00:00,ETH,1779.63,1778.816162109375,1780.85,DOWN,UP,0.5365,NEUTRAL,False,55.99
2026-07-07 03:09:00+00:00,ETH,1780.85,1780.409423828125,1778.63,DOWN,DOWN,0.5198,NEUTRAL,True,57.1
2026-07-07 03:14:00+00:00,ETH,1778.63,1778.7398681640625,1775.53,UP,DOWN,0.5049,NEUTRAL,False,56.82
2026-07-07 03:19:00+00:00,ETH,1775.53,1774.7261962890625,1776.18,DOWN,UP,0.5361,DOWN,False,54.77
2026-07-07 03:24:00+00:00,ETH,1776.18,1779.5150146484375,1774.15,UP,DOWN,0.6435,DOWN,False,46.91
2026-07-07 03:29:00+00:00,ETH,1774.15,1775.42626953125,1774.9,UP,UP,0.5572,DOWN,True,49.59
2026-07-07 03:34:00+00:00,ETH,1774.9,1773.665283203125,1774.15,DOWN,DOWN,0.5553,NEUTRAL,True,52.33
2026-07-07 03:39:00+00:00,ETH,1774.15,1774.850341796875,1771.65,UP,DOWN,0.5315,NEUTRAL,False,50.68
2026-07-07 03:44:00+00:00,ETH,1771.65,1772.8558349609375,1769.97,UP,DOWN,0.5541,DOWN,False,47.94
2026-07-07 03:49:00+00:00,ETH,1769.97,1773.227783203125,1771.0,UP,UP,0.6409,DOWN,True,54.7
2026-07-07 03:54:00+00:00,ETH,1771.0,1771.5230712890625,1771.56,UP,UP,0.5236,NEUTRAL,True,55.99
2026-07-07 03:59:00+00:00,ETH,1771.56,1772.11279296875,1770.46,UP,DOWN,0.5249,NEUTRAL,False,54.59
2026-07-07 04:04:00+00:00,ETH,1770.46,1768.6334228515625,1772.87,DOWN,UP,0.5814,NEUTRAL,False,50.15
2026-07-07 04:09:00+00:00,ETH,1772.87,1776.721923828125,1771.26,UP,DOWN,0.6636,NEUTRAL,False,41.95
2026-07-07 04:14:00+00:00,ETH,1771.26,1771.6600341796875,1769.79,UP,DOWN,0.5181,NEUTRAL,False,41.19
2026-07-07 04:19:00+00:00,ETH,1769.79,1772.5084228515625,1769.86,UP,UP,0.6192,DOWN,True,46.1
2026-07-07 04:24:00+00:00,ETH,1769.86,1771.265380859375,1771.88,UP,UP,0.563,DOWN,True,49.0
2026-07-07 04:29:00+00:00,ETH,1771.88,1774.3876953125,1770.74,UP,DOWN,0.6103,NEUTRAL,False,43.59
2026-07-07 04:34:00+00:00,ETH,1770.74,1770.000244140625,1768.31,DOWN,DOWN,0.5333,NEUTRAL,True,45.05
2026-07-07 04:39:00+00:00,ETH,1768.31,1769.779541015625,1765.44,UP,DOWN,0.5659,DOWN,False,42.08
2026-07-07 04:44:00+00:00,ETH,1765.44,1768.767578125,1763.34,UP,DOWN,0.644,DOWN,False,36.02
2026-07-07 04:49:00+00:00,ETH,1763.34,1762.55908203125,1765.92,DOWN,UP,0.5353,DOWN,False,34.75
2026-07-07 04:54:00+00:00,ETH,1765.92,1768.7216796875,1766.53,UP,UP,0.6228,NEUTRAL,True,39.01
2026-07-07 04:59:00+00:00,ETH,1766.53,1766.626708984375,1766.29,UP,DOWN,0.5044,NEUTRAL,False,38.84
2026-07-07 05:04:00+00:00,ETH,1766.29,1768.0858154296875,1763.0,UP,DOWN,0.5802,NEUTRAL,False,35.73
2026-07-07 05:09:00+00:00,ETH,1763.0,1766.5621337890625,1758.22,UP,DOWN,0.6534,DOWN,False,30.25
2026-07-07 05:14:00+00:00,ETH,1758.22,1758.934326171875,1759.28,UP,UP,0.5324,DOWN,True,31.23
2026-07-07 05:19:00+00:00,ETH,1759.28,1755.2803955078125,1762.91,DOWN,UP,0.6703,DOWN,False,25.91
